use,type,which,loga,a,b,n,rsq,minLen,maxLen,reason
yes,WBIC_YEAR,2272600_1991,-15.2122914807686,2.47392057652184e-07,3.58707976565963,359,0.943222492843794,269.24,693.42,
yes,WBIC_YEAR,2272600_1996,-12.5781725304911,3.44642694920702e-06,3.15917722773751,278,0.959746466896716,198.12,652.78,
yes,WBIC_YEAR,2275100_1995,-13.4749991009154,1.40566634470231e-06,3.31562866589626,165,0.979558705993013,259.08,744.22,
yes,WBIC_YEAR,2283300_1990,-12.8054738640593,2.74570176368807e-06,3.20066252639197,542,0.978740649861172,132.08,728.98,
yes,WBIC_YEAR,2283300_1996,-11.9843027613542,6.24142047444104e-06,3.06575819717846,529,0.90356180912468,152.4,685.8,
NO,WBIC_YEAR,2283300_1998,-16.6222960484901,6.03988332956071e-08,3.80766515481397,206,0.592538730509794,208.28,637.54,r^2< 0.85
NO,WBIC_YEAR,2287200_1990,4.59880165738949,99.3651707498814,0.20871048361178,60,0.111278351926041,304.8,640.08,r^2< 0.85
NO,WBIC_YEAR,2288900_1990,5.04955091310127,155.952412572563,0.130058121451461,106,0.0353222292299847,302.26,655.32,r^2< 0.85
NO,WBIC_YEAR,2290100_1990,4.83788517018211,126.202173192176,0.158378993630527,12,0.035712509746101,317.5,525.78,n< 25
NO,WBIC_YEAR,2290500_1990,4.27426461331299,71.8272990435457,0.263905820876745,34,0.199078580378281,307.34,617.22,r^2< 0.85
yes,WBIC_YEAR,2294900_1989,-12.1913738252149,5.07403689609202e-06,3.10897296058975,452,0.945240501196055,210.82,746.76,
yes,WBIC_YEAR,2294900_1992,-10.6108222904278,2.46478152945464e-05,2.81637519444048,2212,0.87203239525723,109.22,685.8,
yes,WBIC_YEAR,2294900_1997,-13.5774437588477,1.26879394430881e-06,3.32115719561259,1357,0.93591026000106,187.96,739.14,
yes,WBIC_YEAR,2295200_1989,-12.6377972028588,3.24694110639853e-06,3.18149350836068,187,0.953314016631472,266.7,673.1,
yes,WBIC_YEAR,2295200_1992,-11.8640402838907,7.03902927841215e-06,3.03566310333525,201,0.966676783108614,109.22,703.58,
yes,WBIC_YEAR,2295200_1997,-14.2833086159944,6.26380003298099e-07,3.44329350424508,119,0.970693658092785,246.38,736.6,
yes,WBIC_YEAR,2303500_1996,-10.0919438406808,4.14118353205236e-05,2.75091304232669,154,0.966621766886149,96.52,614.68,
NO,WBIC_YEAR,2303500_2001,8.26896001121111,3900.89,NA,2,0,723.9,723.9,n< 25
yes,WBIC_YEAR,2306300_1998,-12.9479260703435,2.38115219866045e-06,3.21371739646733,55,0.930154201961261,238.76,584.2,
yes,WBIC_YEAR,2310200_1991,-13.8377868818599,9.77969961241838e-07,3.34662271053633,158,0.936478924886693,147.32,647.7,
yes,WBIC_YEAR,2310400_1991,-13.9560497336874,8.68889624886615e-07,3.38255609211524,284,0.984257170821,119.38,711.2,
NO,WBIC_YEAR,2311100_1990,-19.0247355212997,5.46590832578672e-09,4.22163009759739,29,0.953189002754955,269.24,551.18,b far from 3
yes,WBIC_YEAR,2311100_1997,-13.0670979063512,2.11364226571638e-06,3.23609408358113,364,0.96106204698919,193.04,708.66,
yes,WBIC_YEAR,2311700_1991,-12.7424611585862,2.92428322501832e-06,3.16439481667294,123,0.962436849593647,114.3,660.4,
yes,WBIC_YEAR,2327500_1993,-14.9715858853372,3.14718928999741e-07,3.55403436487345,252,0.911469604595933,256.54,640.08,
yes,WBIC_YEAR,2327500_1999,-13.3003698638956,1.67387398937326e-06,3.2771274688235,143,0.986330289826206,233.68,731.52,
yes,WBIC_YEAR,2328700_1994,-13.088782140363,2.06830290343632e-06,3.23637108910163,204,0.962235102533605,127,746.76,
yes,WBIC_YEAR,2328700_1997,-12.7441068285712,2.91947477753145e-06,3.19147070785258,142,0.966208279116275,185.42,721.36,
