use,type,which,n,minLen,maxLen,numLens,minAge,maxAge,numAges,ename,sname,reason
yes,WBIC_YEAR,2112800_2016,115,300,680,18,3,13,11,eALK_2112800_2016,sALK_2112800_2016,
yes,WBIC_YEAR,2133200_2013,195,240,680,22,2,12,11,eALK_2133200_2013,sALK_2133200_2013,
yes,WBIC_YEAR,2143900_2012,90,280,680,20,2,13,11,eALK_2143900_2012,sALK_2143900_2012,
yes,WBIC_YEAR,2242500_1994,188,220,760,27,3,21,16,eALK_2242500_1994,sALK_2242500_1994,
yes,WBIC_YEAR,2267800_1988,100,160,700,17,1,13,11,eALK_2267800_1988,sALK_2267800_1988,
yes,WBIC_YEAR,2267800_1991,155,240,680,21,3,15,13,eALK_2267800_1991,sALK_2267800_1991,
yes,WBIC_YEAR,2268300_1988,253,160,680,20,2,11,10,eALK_2268300_1988,sALK_2268300_1988,
yes,WBIC_YEAR,2268300_1991,204,220,740,25,3,14,12,eALK_2268300_1991,sALK_2268300_1991,
yes,WBIC_YEAR,2268500_1991,186,260,740,23,3,19,16,eALK_2268500_1991,sALK_2268500_1991,
yes,WBIC_YEAR,2268600_1991,45,280,700,19,3,14,11,eALK_2268600_1991,sALK_2268600_1991,
yes,WBIC_YEAR,2272600_1991,181,260,680,21,2,13,12,eALK_2272600_1991,sALK_2272600_1991,
yes,WBIC_YEAR,2283300_1990,269,200,720,26,2,18,17,eALK_2283300_1990,sALK_2283300_1990,
NO,WBIC_YEAR,2287200_1990,14,420,660,9,10,12,3,eALK_2287200_1990,NA,n < 30
yes,WBIC_YEAR,2288900_1990,44,400,680,15,10,16,6,eALK_2288900_1990,sALK_2288900_1990,
NO,WBIC_YEAR,2290500_1990,5,560,620,2,10,13,3,eALK_2290500_1990,NA,n < 30
yes,WBIC_YEAR,2294900_1989,477,240,740,25,2,15,14,eALK_2294900_1989,sALK_2294900_1989,
yes,WBIC_YEAR,2294900_1992,248,120,660,28,1,18,17,eALK_2294900_1992,sALK_2294900_1992,
yes,WBIC_YEAR,2294900_2009,309,200,700,26,2,18,17,eALK_2294900_2009,sALK_2294900_2009,
yes,WBIC_YEAR,2295200_1989,188,260,660,17,2,13,11,eALK_2295200_1989,sALK_2295200_1989,
yes,WBIC_YEAR,2295200_1992,185,220,700,21,2,18,16,eALK_2295200_1992,sALK_2295200_1992,
yes,WBIC_YEAR,2303500_2010,104,300,740,17,3,15,9,eALK_2303500_2010,sALK_2303500_2010,
yes,WBIC_YEAR,2310200_1991,116,140,600,24,1,12,12,eALK_2310200_1991,sALK_2310200_1991,
yes,WBIC_YEAR,2310400_1991,197,240,700,21,3,15,13,eALK_2310400_1991,sALK_2310400_1991,
yes,WBIC_YEAR,2311100_1990,91,240,720,22,3,13,10,eALK_2311100_1990,sALK_2311100_1990,
yes,WBIC_YEAR,2311700_1991,110,100,660,21,1,12,11,eALK_2311700_1991,sALK_2311700_1991,
yes,WBIC_YEAR,2327500_1993,149,220,640,21,2,11,10,eALK_2327500_1993,sALK_2327500_1993,
yes,WBIC_YEAR,2328700_1994,122,220,740,25,3,15,12,eALK_2328700_1994,sALK_2328700_1994,
NO,WBIC_YEAR,2328800_1993,9,240,620,6,3,10,5,eALK_2328800_1993,NA,n < 30
NO,WBIC_YEAR,2328900_1993,20,220,680,15,2,12,9,eALK_2328900_1993,NA,n < 30
yes,WBIC_YEAR,2329000_1993,169,220,680,23,2,18,13,eALK_2329000_1993,sALK_2329000_1993,
yes,WBIC_YEAR,2329300_1993,169,180,760,29,2,15,14,eALK_2329300_1993,sALK_2329300_1993,
yes,WBIC_YEAR,2329400_1993,112,200,760,26,2,15,13,eALK_2329400_1993,sALK_2329400_1993,
yes,WBIC_YEAR,2331600_1988,287,260,800,28,2,16,15,eALK_2331600_1988,sALK_2331600_1988,
yes,WBIC_YEAR,2331600_1994,213,260,700,23,2,26,13,eALK_2331600_1994,sALK_2331600_1994,
yes,WBIC_YEAR,2331600_2016,239,280,740,24,3,21,19,eALK_2331600_2016,sALK_2331600_2016,
yes,WBIC_YEAR,2334300_1993,41,200,620,17,2,9,8,eALK_2334300_1993,sALK_2334300_1993,
yes,WBIC_YEAR,2334400_1993,309,220,740,26,3,13,11,eALK_2334400_1993,sALK_2334400_1993,
yes,WBIC_YEAR,2334700_1990,163,240,720,24,3,12,10,eALK_2334700_1990,sALK_2334700_1990,
yes,WBIC_YEAR,2338300_1990,186,240,700,24,3,14,12,eALK_2338300_1990,sALK_2338300_1990,
yes,WBIC_YEAR,2339100_1992,155,280,760,25,4,16,13,eALK_2339100_1992,sALK_2339100_1992,
yes,WBIC_YEAR,2340500_1991,98,240,680,23,3,17,12,eALK_2340500_1991,sALK_2340500_1991,
yes,WBIC_YEAR,2340700_1991,234,240,680,23,3,13,11,eALK_2340700_1991,sALK_2340700_1991,
yes,WBIC_YEAR,2340900_1991,79,300,660,18,3,11,9,eALK_2340900_1991,sALK_2340900_1991,
yes,WBIC_YEAR,2343200_1993,124,200,660,18,2,15,13,eALK_2343200_1993,sALK_2343200_1993,
yes,WBIC_YEAR,2344000_1993,110,260,720,24,4,17,13,eALK_2344000_1993,sALK_2344000_1993,
yes,WBIC_YEAR,2382300_2010,72,260,720,18,3,16,6,eALK_2382300_2010,sALK_2382300_2010,
yes,WBIC_YEAR,2390800_1988,137,420,700,14,6,11,6,eALK_2390800_1988,sALK_2390800_1988,
yes,WBIC_YEAR,2390800_1991,190,360,700,18,4,19,15,eALK_2390800_1991,sALK_2390800_1991,
yes,WBIC_YEAR,2391200_1986,179,280,640,19,2,8,7,eALK_2391200_1986,sALK_2391200_1986,
yes,WBIC_YEAR,2391200_1987,65,320,640,14,3,10,7,eALK_2391200_1987,sALK_2391200_1987,
NO,WBIC_YEAR,2391200_1994,48,260,680,17,3,13,9,eALK_2391200_1994,NA,Bad smoothed ALK
yes,WBIC_YEAR,2391200_2000,205,120,660,26,1,13,13,eALK_2391200_2000,sALK_2391200_2000,
yes,WBIC_YEAR,2391200_2009,199,300,720,20,3,18,15,eALK_2391200_2009,sALK_2391200_2009,
yes,WBIC_YEAR,2392000_1993,83,300,660,17,3,13,10,eALK_2392000_1993,sALK_2392000_1993,
yes,WBIC_YEAR,2393200_1981,188,300,680,18,3,12,10,eALK_2393200_1981,sALK_2393200_1981,
yes,WBIC_YEAR,2393200_1991,165,300,660,19,3,15,13,eALK_2393200_1991,sALK_2393200_1991,
yes,WBIC_YEAR,2393500_1991,202,240,720,25,2,16,15,eALK_2393500_1991,sALK_2393500_1991,
yes,WBIC_YEAR,2393500_2010,174,260,680,22,3,15,13,eALK_2393500_2010,sALK_2393500_2010,
NO,WBIC_YEAR,2395500_2010,26,340,700,14,4,15,8,eALK_2395500_2010,sALK_2395500_2010,n < 30
yes,WBIC_YEAR,2395600_1987,190,240,720,25,2,14,13,eALK_2395600_1987,sALK_2395600_1987,
yes,WBIC_YEAR,2395600_1991,99,180,640,22,1,15,13,eALK_2395600_1991,sALK_2395600_1991,
yes,WBIC_YEAR,2395600_2010,198,140,640,24,1,18,14,eALK_2395600_2010,sALK_2395600_2010,
yes,WBIC_YEAR,2399700_1990,428,200,760,28,2,19,18,eALK_2399700_1990,sALK_2399700_1990,
yes,WBIC_YEAR,2417000_1990,212,180,700,25,2,17,16,eALK_2417000_1990,sALK_2417000_1990,
yes,WBIC_YEAR,2417000_2004,270,200,680,25,1,17,13,eALK_2417000_2004,sALK_2417000_2004,
yes,WBIC_YEAR,2418600_1990,140,280,680,21,4,15,12,eALK_2418600_1990,sALK_2418600_1990,
yes,WBIC_YEAR,2418600_2004,179,200,700,25,1,15,12,eALK_2418600_2004,sALK_2418600_2004,
yes,WBIC_YEAR,2435000_2004,188,280,660,18,3,15,12,eALK_2435000_2004,sALK_2435000_2004,
yes,WBIC_YEAR,2461100_2000,175,160,700,25,1,17,16,eALK_2461100_2000,sALK_2461100_2000,
yes,WBIC_YEAR,2485700_2015,42,380,680,16,3,14,11,eALK_2485700_2015,sALK_2485700_2015,
yes,WBIC_YEAR,2490500_2015,97,220,700,17,2,12,9,eALK_2490500_2015,sALK_2490500_2015,
yes,WBIC_YEAR,2492100_1994,116,220,720,26,2,18,16,eALK_2492100_1994,sALK_2492100_1994,
yes,WBIC_YEAR,2495100_1988,162,280,720,22,3,18,12,eALK_2495100_1988,sALK_2495100_1988,
yes,WBIC_YEAR,2495100_1993,156,120,680,22,1,17,17,eALK_2495100_1993,sALK_2495100_1993,
yes,WBIC_YEAR,2495100_2000,137,180,680,19,1,18,15,eALK_2495100_2000,sALK_2495100_2000,
yes,WBIC_YEAR,2496300_1977,334,100,740,31,1,10,10,eALK_2496300_1977,sALK_2496300_1977,
yes,WBIC_YEAR,2496300_1994,189,100,700,31,1,16,16,eALK_2496300_1994,sALK_2496300_1994,
yes,WBIC_YEAR,2615100_1994,170,140,700,24,1,22,16,eALK_2615100_1994,sALK_2615100_1994,
yes,WBIC_YEAR,2615100_2004,270,120,660,27,1,10,10,eALK_2615100_2004,sALK_2615100_2004,
yes,WBIC_YEAR,2615100_2013,222,160,700,24,1,11,11,eALK_2615100_2013,sALK_2615100_2013,
yes,WBIC_YEAR,2620600_1988,381,180,760,28,1,16,15,eALK_2620600_1988,sALK_2620600_1988,
yes,WBIC_YEAR,2620600_1994,215,240,760,27,2,17,15,eALK_2620600_1994,sALK_2620600_1994,
yes,WBIC_YEAR,2621100_1988,224,280,760,24,2,24,17,eALK_2621100_1988,sALK_2621100_1988,
yes,WBIC_YEAR,2621100_1991,103,280,720,23,3,13,10,eALK_2621100_1991,sALK_2621100_1991,
yes,WBIC_YEAR,2621100_2012,98,160,720,21,1,13,10,eALK_2621100_2012,sALK_2621100_2012,
yes,WBIC_YEAR,2627400_1989,264,140,720,28,1,15,15,eALK_2627400_1989,sALK_2627400_1989,
yes,WBIC_YEAR,2627400_1991,171,240,720,24,3,17,13,eALK_2627400_1991,sALK_2627400_1991,
yes,WBIC_YEAR,2641000_1990,192,220,680,22,2,18,16,eALK_2641000_1990,sALK_2641000_1990,
yes,WBIC_YEAR,2641000_2011,117,300,720,18,2,13,8,eALK_2641000_2011,sALK_2641000_2011,
NO,WBIC_YEAR,2654500_1991,7,320,740,7,4,14,5,eALK_2654500_1991,NA,n < 30
yes,WBIC_YEAR,2661100_1993,111,320,720,20,3,12,10,eALK_2661100_1993,sALK_2661100_1993,
yes,WBIC_YEAR,2675200_1992,144,160,640,23,1,15,14,eALK_2675200_1992,sALK_2675200_1992,
